,AL1,AL2,AL3,AL4,AL5,AL6,AL7,AL8,AL9,AL10,AL11,AL12,AL13,AL14,AL15,AL16,AL17,AL18,AL19,AL20,AL21,AL22,AL23,AD1,AD2,AD3,AD4,AD5,LL1,LL2,LL3,LL4,LL5,LL6,LL7,LL8,LD1,LD2
Cre02.g093550.v5.5,2.42906,2.55688,2.15327,3.36801,3.10149,3.02356,2.76693,2.22261,2.75185,2.0585,2.50873,2.88449,3.4992,2.96374,3.70509,3.9867,3.6752,3.0131,2.75463,3.37073,2.58395,2.73355,2.54361,2.01239,2.05751,2.14826,2.61736,3.35421,1.24719,1.31088,1.51733,1.52362,1.43871,1.37222,1.70601,1.68631,2.42595,2.87719
Cre02.g093600.v5.5,5.61186,3.73647,4.81653,3.6125,2.43131,2.18234,4.91327,3.90681,3.63005,6.16572,2.12378,6.47378,6.04977,1.98823,4.67738,5.10118,4.89681,5.50613,3.5269,4.29655,3.13374,18.9691,11.0598,232.075,197.426,95.5068,59.2935,7.0647,7.77962,1.91137,2.42689,2.99294,3.3145,6.34129,16.8796,8.85533,2.40609,2.32149
Cre02.g093650.v5.5,143.228,106.376,124.921,188.845,135.532,153.871,160.518,167.426,131.098,134.634,164.581,210.337,239.469,192.142,239.053,235.631,224.028,200.013,231.661,160.259,263.9,144.88,141.075,101.344,89.1652,53.8229,30.446,74.8351,362.266,395.018,286.196,360.315,301.28,281.535,208.662,303.459,170.952,168.971
Cre02.g093700.v5.5,5.74397,6.54606,6.63561,4.66183,5.56573,5.72496,3.95688,5.16377,5.47578,7.47668,6.3665,2.96131,3.01869,5.97582,5.82751,3.05886,3.36789,3.40948,4.31532,5.6197,4.38393,5.46109,8.21822,4.97333,3.77753,7.66828,6.04886,5.96681,3.17372,3.21678,1.76671,2.69927,3.04623,2.21444,2.6926,3.71401,8.60654,8.9112
Cre02.g093750.v5.5,9.45964,7.6588,11.4154,8.2946,7.89089,6.53899,5.75071,10.6003,7.87832,6.22126,5.38673,7.81789,6.16176,8.32778,6.34646,6.2986,7.64718,7.44867,5.16323,8.61269,2.8388,6.08702,5.25774,27.0814,24.9681,24.0377,8.15422,2.56416,56.9,4.38643,6.26833,5.4644,4.47022,5.76799,102.9,18.6542,5.82417,5.01217
Cre02.g093800.v5.5,8.64217,8.97317,10.4515,7.87182,8.04532,6.73402,5.84298,7.84958,6.05947,8.83055,6.40056,3.81637,4.13986,4.12727,4.87732,4.80649,4.09528,5.69267,3.98053,5.6947,2.58538,7.23538,5.51628,19.3026,17.2058,11.9693,6.71122,6.59689,17.1069,2.07727,1.9732,1.15155,1.46603,0.970843,37.3366,4.02655,2.9853,2.64221
Cre02.g093850.v5.5,1.90323,1.92734,2.01142,1.92243,1.82647,2.24024,1.87903,1.09313,1.86513,1.32894,1.50367,1.46315,1.67256,1.62118,2.45396,1.62369,1.2316,1.34663,1.40941,1.92769,1.63375,1.22434,2.38163,1.34542,1.51471,1.32079,3.52761,1.89104,1.81623,2.20384,1.91461,2.39635,2.53336,2.37026,2.99979,2.68299,1.8769,2.23325
Cre02.g093950.v5.5,32.0206,41.8551,39.8545,42.7176,40.9104,32.9445,53.0195,37.1965,30.259,25.01,34.9497,33.2657,28.3486,32.9712,23.9446,31.2831,25.3615,29.6471,25.3248,46.136,30.8202,26.6677,20.8667,75.5181,66.9801,65.5992,66.4537,35.4852,17.5858,26.1716,16.9955,13.9689,15.0312,15.211,13.2119,13.6775,27.5292,28.7408
Cre02.g093975.v5.5,6.58952,6.6393,5.84983,6.57044,6.27035,7.64662,5.20887,6.28276,6.39779,6.10154,7.45571,5.88974,5.59648,5.82992,4.51017,6.40439,6.03251,5.07278,5.1518,4.69992,6.68278,6.46506,9.42452,4.2634,4.06139,4.64868,7.49736,7.659,1.25758,1.82698,1.83935,1.95556,1.95444,1.37114,2.37234,2.21496,5.52353,5.78718
Cre02.g094050.v5.5,0.889865,0.661633,0.965661,0.91317,0.541505,0.673804,0.918273,0.901123,0.808817,1.02824,0.767458,1.22977,0.732014,1.02874,0.92086,0.877662,0.7769,0.594742,0.936399,0.858963,0.620226,1.15302,1.11056,3.33203,2.78108,2.38472,1.00339,0.884111,0.434978,0.316895,0.186918,0.24808,0.419156,0.265925,1.852,0.412239,1.23819,1.12269
Cre02.g094100.v5.5,17.7021,14.2954,17.8111,12.791,11.1171,14.077,17.9341,9.19121,15.2983,10.8118,13.67,18.9081,11.9812,16.296,17.3501,11.8545,15.8095,10.9838,14.7972,15.9996,12.6874,10.7162,8.59109,17.5727,17.2098,21.3178,9.5602,6.84914,14.6517,10.0146,12.604,12.2866,14.656,10.3723,17.7569,13.0713,19.7275,20.5208
Cre02.g094150.v5.5,2.12225,2.87256,2.84544,3.12507,2.57338,3.09914,3.29157,3.42159,3.20837,1.77903,1.82695,2.3428,3.01992,2.62439,2.91415,2.81148,2.41795,2.82203,3.25529,3.65204,2.9795,2.30036,3.17829,4.49265,3.81222,3.62803,6.95109,7.72374,1.48001,2.68063,2.90152,1.98006,2.26447,2.76782,2.27343,2.3314,3.28256,3.50872
Cre02.g094200.v5.5,2.42892,3.24272,2.91944,3.73776,3.18581,3.17132,4.86808,2.84101,2.56022,4.67196,3.09662,4.71675,4.94449,3.05774,3.53757,4.68556,3.54028,3.71114,4.31355,2.27513,3.7532,6.73607,4.98935,4.15221,5.25468,2.92275,2.27444,4.3769,0.885672,0.116023,0.0114821,0.168954,0.282968,0.156508,0.371619,0.325336,0.549883,0.75221
Cre02.g094250.v5.5,358.166,296.297,248.348,328.728,360.43,316.104,295.921,284.192,328.18,357.222,378.92,494.105,445.947,461.572,474.17,627.536,633.832,420.551,456.321,420.346,411.611,362.529,307.271,105.864,92.6343,95.109,88.8948,197.136,268.143,135.243,275.786,228.017,209.625,192.883,125.129,191.855,587.068,530.663
Cre02.g094300.v5.5,5.4865,4.84589,5.40969,6.15468,5.47203,6.20944,6.87657,5.55362,5.83329,4.50781,5.08054,4.99656,4.94248,4.75369,8.77266,4.93438,6.21031,5.14342,5.65509,5.63551,7.19432,6.28122,7.97734,10.2645,8.47447,9.64429,10.4532,6.98567,3.38184,6.2844,8.39486,9.15673,7.8211,7.78579,7.86059,8.86401,9.11576,8.90119
Cre02.g094350.v5.5,9.19137,11.633,10.5396,10.2923,11.1927,11.2097,9.19332,11.3606,17.4557,6.60115,8.46787,8.53954,7.83836,8.79175,8.63256,10.9846,12.3518,9.2549,8.26501,9.62089,8.93184,7.66365,9.02719,6.80793,7.18658,7.42612,12.4545,7.12692,12.4128,10.0422,14.7723,12.5243,12.1512,12.758,14.6982,8.07385,8.42192,6.55585
Cre02.g094400.v5.5,0.950664,0.598977,0.877281,0.587683,0.563918,0.766851,0.37797,1.6268,0.593582,1.02076,0.842932,0.531238,0.215558,1.11962,1.35202,0.529699,0.64473,0.356461,0.476274,0.124458,0.794109,0.785103,1.13323,2.45632,1.62488,2.70198,2.64346,2.54111,1.77937,2.3078,0.570392,1.25442,0.937978,1.072,0.588214,0.907218,3.63297,4.01328
Cre02.g094450.v5.5,188.685,231.639,205.04,215,144.008,215.748,228.82,248.45,225.397,186.376,145.724,216.896,185.968,151.885,143.236,131.15,138.778,245.26,249.168,267.608,181.93,168.897,121.866,64.3307,68.6855,111.914,2.27452,11.0608,127.906,241.324,190.383,242.533,163.573,150.799,86.6455,221.316,40.4255,40.4256
Cre02.g094500.v5.5,8.27428,9.5994,9.5252,12.7565,7.15126,10.5938,12.9611,12.9047,10.2917,10.6231,6.89914,14.9228,12.5341,8.51899,12.5431,10.3972,11.6605,13.2445,12.439,12.6007,12.5839,9.66761,12.1351,19.688,20.1063,15.4946,13.9929,17.2086,12.452,9.34299,9.95879,8.76416,7.61326,7.68642,4.49484,6.7102,12.5843,11.0181
Cre02.g094600.v5.5,2.1566,2.0509,2.60567,2.49344,2.28545,2.41725,1.93703,2.64498,1.99182,2.98518,2.72194,1.75949,1.571,2.47505,1.68499,1.38954,1.76345,2.10126,2.46776,1.7242,2.10656,2.15499,3.99213,1.18322,1.13164,1.49805,2.09586,2.57391,1.69068,1.80602,1.0539,1.92229,1.66822,1.75543,1.38497,2.26716,3.42347,3.67559
Cre02.g094700.v5.5,1.98124,1.96703,1.96895,1.82836,0.98827,1.32373,1.66321,1.86917,2.11079,1.00323,1.61831,1.19719,2.18303,1.35759,1.01348,1.80642,1.44625,1.97408,1.29179,2.23797,1.0253,0.842893,0.755339,1.5743,1.74358,1.1179,0.721188,0.705199,1.45659,0.660701,0.140787,0.270094,0.217237,0.333724,0.956657,0.66191,0.903842,0.713812
Cre02.g094750.v5.5,3.071,2.77074,3.038,3.85801,2.89678,2.76732,3.18258,3.23097,3.35679,1.75618,2.0115,4.78082,3.39924,2.45082,1.93013,2.03024,2.89797,3.0577,1.86356,2.3926,1.46305,1.62726,1.41024,5.62835,4.81056,6.14076,3.75573,3.72502,2.50361,2.78848,1.74146,1.85675,1.85026,1.87733,2.07107,2.59263,4.37083,4.65505
Cre02.g094900.v5.5,3.58141,5.03141,4.03467,4.01906,4.5139,4.37029,4.7503,4.39361,3.74335,5.52647,4.70489,5.88124,4.76753,4.47811,5.61594,4.89588,4.14719,4.85267,4.35326,4.6615,4.44945,4.09468,3.86508,3.34512,2.84288,3.33539,4.25099,2.26956,1.80888,1.93407,2.44202,2.09486,2.17479,2.07201,2.24263,2.20489,4.93572,4.72724
Cre02.g095000.v5.5,12.2075,14.206,13.5138,17.6436,17.8588,14.6068,10.0255,16.9575,13.7986,20.9058,21.0291,15.6096,13.3199,14.4377,11.6825,14.5451,17.999,12.98,11.865,13.4902,14.8137,18.4615,19.2634,25.6379,27.5303,24.287,12.5938,16.0192,5.52172,3.53491,5.90016,2.69188,5.85862,3.21063,7.16287,5.19926,3.95231,4.1
Cre02.g095045.v5.5,2.85271,2.32731,2.90987,2.89623,2.02808,2.47038,2.22562,2.42196,2.69089,2.57636,2.39959,2.39885,1.9189,2.55053,1.79562,2.43685,1.95314,2.17399,2.33606,2.25618,2.53209,2.05657,2.30647,3.04383,4.03294,3.73318,5.9826,2.78469,0.996264,1.07127,1.00603,0.885291,1.23644,1.08091,1.40749,1.29039,5.55879,5.51882
Cre02.g095046.v5.5,43.9112,42.9331,35.5504,46.6559,55.7849,52.1423,43.6794,65.3842,40.7705,74.8189,54.3094,30.1343,48.4229,34.2647,39.2661,64.7931,53.9034,57.2862,42.4901,37.6709,51.8883,105.708,72.457,18.9378,23.2568,19.5535,16.6058,66.8721,2.76919,3.87545,2.94198,1.98026,2.58343,2.01449,2.19397,2.09437,7.04087,7.12007
Cre02.g095048.v5.5,7.43036,7.28088,6.55483,6.59931,9.31982,7.12735,5.13294,6.91328,8.09432,11.8532,9.45053,6.65277,6.07024,7.60194,8.41739,7.66078,6.94237,7.90489,7.47799,7.33402,7.77728,11.937,11.6914,4.03315,3.87101,5.15164,4.252,8.27656,2.08229,2.41948,1.91563,1.83708,1.66527,1.43438,1.25875,2.17166,3.31931,3.44032
Cre02.g095050.v5.5,2.35034,3.0373,2.65294,2.23369,2.39464,2.07534,2.19863,2.62364,2.33355,3.03967,1.96906,2.61399,0.599589,1.86585,2.76309,1.26752,1.65298,1.99185,1.79951,2.61081,1.9103,2.39033,2.32182,1.15157,1.573,1.62614,0.609938,1.37641,0.462798,1.36049,0.841572,1.25136,1.63554,1.11101,1.23331,1.282,2.94806,2.70159
Cre02.g095053.v5.5,2.76908,2.31941,2.16835,1.96686,4.35569,3.51768,2.60266,3.74972,3.26669,6.37861,4.62807,2.802,3.81307,3.34595,6.42647,5.9511,6.80288,4.76824,4.79848,3.31017,5.4852,6.88677,8.90837,0.832551,0.81422,1.12234,1.50854,4.69639,0.573728,0.466837,0.479165,0.497323,0.374939,0.198683,0.230765,0.33873,2.08463,2.3648
Cre02.g095055.v5.5,3.87545,4.15212,3.30119,4.12473,4.01511,3.18797,2.61456,2.55542,3.28416,2.68626,3.43941,3.44752,2.21483,2.58847,2.03525,1.78664,2.7535,2.20491,2.16134,2.46168,2.25999,2.49904,2.73873,1.35445,2.18416,2.53158,1.99577,2.05456,2.92794,2.34662,2.78071,2.38818,2.62842,1.9623,3.55544,2.54138,4.38554,4.38179
Cre02.g095057.v5.5,22.9574,23.4893,16.7787,18.9135,24.437,17.3098,16.7842,13.5782,16.1153,23.9547,21.4694,11.869,13.2707,16.8045,13.9324,16.3824,18.6638,15.1879,11.9077,20.9261,14.3282,23.9707,16.1732,9.50493,10.4351,12.1348,9.93952,12.155,11.6664,6.92199,7.22698,5.85453,7.51194,8.37318,8.32815,6.19711,6.37912,6.16688
Cre02.g095059.v5.5,1.00427,1.76194,1.60841,1.58783,1.79207,1.54654,1.44853,0.83384,1.31709,3.47001,1.5294,1.12776,0.900561,0.506335,0.567607,1.52794,0.958223,1.26012,1.0172,1.33316,1.16474,4.52614,3.19744,0.391154,0.61866,0.249916,0.684958,1.71477,0.298015,0.0996458,0.172117,0.0736968,0.291001,0.0775505,0.239595,0.196423,0.0897083,0.120133
Cre02.g095069.v5.5,11.0218,6.66662,7.24264,13.6064,14.5703,13.1808,8.6915,18.9825,11.5191,26.2049,23.1319,12.9664,11.1658,17.2827,16.7849,16.2128,16.2666,14.1705,18.5334,14.6905,22.9145,20.6319,13.351,6.02571,6.97334,3.56107,2.94242,8.29956,3.50205,5.65925,4.69921,4.24173,8.08858,3.88393,2.5345,4.95574,5.25088,6.13103
Cre02.g095070.v5.5,14.7696,13.6349,15.8637,16.4223,14.8297,14.385,14.7768,16.2988,11.3104,16.088,16.1903,16.1463,16.0074,15.2069,13.009,17.8101,17.245,18.0751,14.2853,16.4843,14.7497,7.82978,9.02576,23.5168,21.6611,22.0577,22.3468,15.2979,10.6108,13.4913,15.4413,11.7486,10.4141,10.4188,3.96317,11.5775,16.6946,16.1412
Cre02.g095071.v5.5,4.06955,2.46261,3.1963,3.24097,3.31145,2.62733,3.39426,3.5711,3.71449,2.28172,3.59234,3.4486,4.48542,3.4199,2.47741,3.89133,3.54976,3.15934,4.0707,2.86982,3.91193,2.88381,2.5973,1.70409,2.33512,3.15106,3.148,3.4872,2.29003,2.72597,2.9443,3.91073,2.51645,2.81793,2.0501,2.81957,6.88159,7.31536
Cre02.g095072.v5.5,23.8499,32.095,23.6615,27.6227,28.5181,26.1985,16.1356,23.7156,31.9428,16.9012,21.9603,17.7971,22.3174,22.4805,22.5136,21.9697,21.3323,22.2868,22.7167,21.1566,20.5192,19.2146,24.4191,18.3734,21.305,18.6295,27.4436,17.9346,50.4585,71.4553,45.4785,69.3593,72.3934,67.1104,57.7535,43.7904,17.1546,13.8425
Cre02.g095073.v5.5,46.6478,42.4468,62.738,34.514,21.397,34.7516,59.5214,18.7931,39.4205,27.906,21.1255,24.0469,23.6376,20.716,22.0872,31.7663,29.9352,30.5189,28.8402,39.245,21.4333,39.0499,33.3419,96.5741,105.378,75.5178,108.703,150.45,37.9888,43.9793,47.0435,34.1862,59.2032,66.9926,62.084,36.7853,49.0412,47.1623
Cre02.g095074.v5.5,1.84967,1.59991,2.21749,1.30168,1.81849,1.58413,1.30035,1.22524,1.65306,2.17914,1.6846,1.95841,1.19746,1.8234,0.372769,1.96961,1.78403,1.45425,1.5318,1.01755,1.64468,2.22531,2.40067,5.9393,6.25868,6.69362,5.15079,3.89952,0.410301,1.00171,0.672507,1.04819,1.04366,0.989754,0.900021,1.21256,4.47443,4.60372
Cre02.g095075.v5.5,3.47222,3.61966,3.58791,3.50469,3.31769,3.10675,2.93306,4.48245,3.34297,3.13247,3.76601,3.07059,2.2318,3.48056,4.18423,2.4931,2.90715,2.19875,3.20443,2.28787,2.66604,2.26197,3.10994,42.9653,34.8922,51.9386,37.4793,9.64966,7.8158,6.13322,3.84133,5.94094,4.70385,5.25071,6.46915,5.40124,13.1776,13.1113
Cre02.g095076.v5.5,2.05347,1.33372,3.07631,0.335054,1.32035,0.788381,0.693394,1.1606,0.799618,0.633492,0.541095,0.340732,0.123826,0.631676,0.756159,0.167356,0.954473,0.668304,0.362049,0.408541,0.371696,0.753008,0.862746,62.199,52.5965,79.6851,45.8398,10.7747,17.8823,30.753,53.561,36.6001,55.7986,78.702,58.6627,54.4095,42.1862,31.5147
Cre02.g095077.v5.5,25.8012,23.884,28.6076,22.0007,21.6576,19.7438,25.4416,18.9947,22.4205,16.5881,15.7503,13.9645,14.4242,18.98,16.7001,15.3334,14.8582,16.362,15.6379,21.5561,12.9564,16.8737,20.0871,90.2542,83.3169,78.6555,74.3453,27.2314,23.5118,23.7853,31.0365,19.6491,27.1492,35.5054,53.0846,42.2358,40.26,37.4978
Cre02.g095078.v5.5,1.53967,1.74438,1.47397,1.99459,1.40767,1.55088,1.80584,1.11346,1.43612,2.46843,2.0418,2.36137,2.77191,1.74676,2.64126,2.4682,2.29605,1.7796,1.91891,2.09943,1.71308,2.47696,2.69248,2.05552,2.53654,1.89581,1.14376,1.39966,1.37784,0.77594,0.958949,0.652377,0.834506,0.568345,1.02623,0.751332,2.15269,1.61858
Cre02.g095079.v5.5,2.63937,1.70513,2.27819,2.15613,2.1996,2.1768,3.24841,1.1683,1.65311,1.89764,2.6252,2.85723,2.57466,1.53233,3.07864,2.01055,1.95771,1.96142,1.57356,2.46113,1.67453,1.61176,1.85369,2.84822,2.56103,2.37734,1.48573,1.6197,1.17063,1.54876,1.36089,1.24818,0.79646,0.873946,1.44464,1.01596,2.3572,2.64548
Cre02.g095080.v5.5,8.17377,9.73005,12.2339,9.73752,6.08031,7.19396,7.98586,4.55218,6.74672,5.7207,6.46308,4.89166,5.02322,4.01037,3.68115,7.43443,4.75068,6.60118,4.78868,6.50637,5.44661,2.55071,2.98089,4.2136,4.54093,3.18871,1.08213,1.01163,7.26541,1.93205,4.03406,3.65162,8.57439,1.98175,9.7005,4.89538,1.32338,0.977904
Cre02.g095081.v5.5,5.14819,4.55137,4.06188,3.77103,3.94494,3.43726,4.16596,2.66134,4.14003,4.97571,4.24126,3.50193,2.91106,2.76732,3.08654,4.50433,4.84827,3.58171,4.21182,4.65424,4.32405,3.81233,3.75586,2.08515,2.19509,2.65596,4.75295,3.31839,1.8327,1.64932,2.85594,1.87665,1.91976,2.27984,2.53235,2.15176,3.59057,3.48245
Cre02.g095082.v5.5,14.1313,17.9553,20.1073,11.6256,11.4036,15.7898,19.0323,9.05821,18.2058,11.6558,9.22406,9.06739,9.42992,15.6657,14.5392,6.90687,8.1899,9.81422,12.9618,16.0891,10.0436,8.92206,18.2009,23.8084,20.1681,26.9781,30.7153,13.0909,12.5835,9.38753,10.6202,15.0544,11.5975,13.71,14.574,15.2249,15.5068,15.1781
Cre02.g095083.v5.5,1.53671,2.02468,2.62905,1.86069,1.75675,1.18379,2.13753,1.86406,1.49633,1.35239,1.30929,0.96113,0.696082,0.673527,1.04403,1.48703,1.47753,1.03684,0.48829,0.998258,0.572915,1.38689,1.18899,6.14378,5.0089,3.91611,0.969286,6.35661,0.0822868,0.0443941,0.01,0.0203465,0.0294937,0.0301624,0.289596,0.0565596,0.189217,0.211158
Cre02.g095084.v5.5,2.69508,3.43386,5.7287,2.93263,1.24341,2.25449,2.95725,3.35561,2.69818,2.32107,2.8912,1.84951,0.777884,2.59215,0.583266,0.700777,1.02372,2.4188,2.10033,1.09752,1.16732,3.02945,2.82988,437.557,488.972,274.682,202.29,52.8036,12.0744,4.02709,6.14533,5.25646,6.86827,9.20763,7.80556,11.7863,4.44957,3.06959
Cre02.g095086.v5.5,13.1857,15.9787,16.0266,10.6726,16.3675,12.3935,10.3269,7.62676,11.5053,12.7566,14.315,12.1637,13.2969,10.7491,13.5079,12.1338,13.5773,10.5828,10.1331,12.3926,9.59635,11.4763,8.79138,59.8062,50.1697,63.7074,69.7383,23.3725,6.08653,3.56278,5.54778,3.50779,5.20645,4.83712,8.41849,5.55106,8.10587,8.11954
Cre02.g095087.v5.5,10.6849,14.1793,13.9736,11.3563,10.7855,13.3182,11.4405,10.1994,14.5751,1.80655,3.01379,7.13464,6.91093,7.22351,6.43127,4.34643,5.77568,6.31738,4.87196,12.3351,4.92133,0.831583,0.992917,4.11912,5.27487,4.69026,7.36626,1.09407,21.4061,15.0199,33.8828,13.5773,25.7339,31.5017,50.0817,27.7036,6.96705,5.54787
Cre02.g095089.v5.5,12.1108,11.9737,11.7721,13.449,18.1084,15.0485,11.9785,16.9425,13.2515,13.8145,15.4767,16.1611,14.1505,21.183,16.9632,19.7678,18.4435,15.4689,12.8791,15.0626,18.0211,16.2111,12.1814,14.4231,9.83402,13.1832,12.8022,9.7227,13.0573,21.2519,20.1116,20.2925,14.6724,19.3738,8.91838,15.9839,15.4141,15.6377
Cre02.g095090.v5.5,3.60782,3.31244,3.21532,7.96238,5.75065,5.99467,5.13225,6.52971,4.23211,5.10629,5.05964,4.74411,5.66917,5.12348,5.70236,8.33403,5.19783,5.50773,5.18984,4.36705,6.23043,7.86044,5.93436,5.60032,5.27401,5.18654,5.11045,7.34851,8.54365,7.04662,9.95699,7.2533,7.258,7.23053,8.19576,7.76262,7.43419,7.83299
Cre02.g095091.v5.5,6.86837,9.96053,7.8304,9.05612,9.42417,10.4029,10.2006,13.2814,10.9829,5.9222,6.62726,8.61072,7.93967,7.2066,7.5931,8.50439,8.25071,7.97206,7.56616,8.14485,7.10883,5.52899,5.97041,1.3685,2.24149,1.18522,3.22547,4.85804,3.66755,3.55402,4.30238,4.52472,4.69139,5.71596,5.50588,7.00812,3.6315,4.48296
Cre02.g095092.v5.5,21.9791,23.1202,19.8612,25.8129,22.6218,27.54,21.3461,27.8321,21.5434,27.3672,27.5695,31.6588,32.3837,26.9163,30.9472,26.9267,26.7872,28.0283,28.4523,24.1275,27.1763,26.6997,23.3399,37.2211,36.456,32.4584,48.6087,24.3019,22.3746,32.4311,23.3061,24.5711,21.7305,24.1337,9.76553,16.9128,39.3965,43.2133
Cre02.g095093.v5.5,90.5235,107.131,91.6217,149.472,76.0708,88.774,126.935,118.928,90.5795,98.6664,88.7672,120.251,125.033,87.155,89.4656,94.7405,81.9466,110.804,85.6904,91.5308,98.0208,84.0514,60.6278,167.29,148.197,122.583,186.12,82.7096,70.8976,72.0442,41.3304,58.139,80.2871,72.4569,67.4921,77.4718,61.5515,54.912
Cre02.g095095.v5.5,35.8577,35.4697,31.9337,57.7186,19.8089,41.9884,34.158,47.5051,39.9453,34.1115,27.2475,34.0856,36.6515,27.0146,26.1751,20.9251,24.1025,40.5321,40.649,39.4909,33.1622,46.9814,33.3444,15.333,17.5713,20.74,2.77045,10.2636,30.2392,60.3329,31.6918,69.0869,46.8489,47.3787,14.9544,48.4803,23.383,22.1325
Cre02.g095097.v5.5,16.034,20.9485,14.8392,18.6232,23.6565,30.4242,16.1631,14.5618,22.1463,24.1498,24.4396,23.9196,27.7438,21.4545,18.0043,26.5126,24.7913,21.4778,17.2713,32.5315,24.5762,19.1822,19.1576,15.3736,17.0747,12.5719,20.3737,14.954,10.5082,12.8462,25.5264,11.9233,13.8921,14.3277,8.18423,12.5577,9.75963,7.93265
Cre02.g095098.v5.5,31.6726,30.9261,34.0745,31.146,24.8893,32.7162,28.9486,27.1458,31.1827,31.1012,24.9319,27.9514,34.0582,21.4745,26.137,24.0139,30.8806,28.9284,31.1058,30.3131,29.5734,23.2436,25.3543,113.234,105.014,85.5758,95.7285,23.2484,23.4022,13.3656,17.491,23.6997,22.5773,24.5687,20.5464,28.0183,13.8624,12.6139
Cre02.g095099.v5.5,1.78593,1.64912,1.6135,1.51942,1.2717,1.08807,1.3834,1.75661,1.32594,1.59472,1.36804,1.57404,1.79743,1.72786,1.80158,1.12833,0.997762,1.41845,1.66727,1.06736,1.30415,0.931468,1.2405,0.457635,0.568847,0.463482,0.298776,0.303389,0.340999,0.566533,0.332326,0.507926,0.864628,0.661371,1.90325,0.79409,1.75486,1.61118
Cre02.g095100.v5.5,18.6211,15.1901,12.1136,18.0507,20.2992,20.5017,21.1228,16.7556,18.0527,15.7892,17.7424,31.6943,40.9583,31.8145,25.1451,31.8835,29.5518,25.3879,24.509,26.5473,24.2634,20.1901,11.055,33.7086,25.9658,27.6259,26.2526,25.3181,16.3252,19.6404,26.4966,20.5393,14.1314,18.3372,11.173,13.5694,12.1082,13.0743
Cre02.g095101.v5.5,5.31674,6.15942,5.79167,4.66822,4.40981,5.85515,5.90189,4.5859,5.79508,4.84551,3.69134,5.04524,5.06446,3.92897,4.25782,4.09044,4.46687,5.48908,4.77317,6.13611,5.02541,4.17612,4.42558,4.68134,6.13398,5.79042,8.35114,4.58288,4.55373,3.33003,6.66127,3.97677,3.98834,5.28164,5.69735,5.02362,6.39235,6.88539
Cre02.g095102.v5.5,6.75539,6.18771,5.91227,7.1419,6.16125,6.63648,6.71871,7.56243,6.6398,6.02034,4.6626,8.57358,7.83,8.70902,8.55538,9.62846,7.36944,7.4538,7.47102,6.4201,7.22458,8.99974,6.58463,4.78096,4.53293,5.75211,8.59281,5.11367,4.21653,1.91954,2.02157,2.91947,2.33868,2.36882,2.6556,2.36681,3.98126,4.34232
Cre02.g095104.v5.5,16.6456,16.1703,16.1571,16.3721,16.3688,10.4945,15.2077,10.9722,12.7729,9.12267,10.5791,9.54167,10.926,12.6464,11.0368,12.2208,12.4267,13.2785,10.8738,15.6213,9.86031,9.17852,6.10315,42.6715,42.9724,43.5775,39.8332,21.5896,9.40238,5.75012,11.3493,7.68463,6.87584,9.54054,15.4605,9.36008,8.15763,7.72572
Cre02.g095105.v5.5,14.2922,12.4602,22.6698,16.4033,10.1392,12.7846,18.58,11.9134,12.8753,9.90961,6.9899,13.5172,15.6701,11.1652,11.2378,15.5792,12.089,15.2226,14.7912,13.2271,12.8673,14.3717,13.1764,62.8004,64.839,61.3225,59.8683,36.1203,14.5948,12.7389,11.5787,19.2053,15.4577,22.0614,17.9947,14.3542,11.231,10.5385
Cre02.g095106.v5.5,28.3838,21.4105,26.8428,18.0563,15.2913,17.5206,23.3257,16.8157,23.6996,12.6757,11.8264,21.6444,19.7711,19.5368,19.3958,22.3512,25.2421,24.011,20.0412,22.3449,16.7028,19.9527,15.6809,97.1677,93.4317,90.4068,105.508,43.1502,22.2162,19.7364,15.7777,34.6713,22.6255,38.4224,28.669,22.1028,12.8064,12.2126
Cre02.g095107.v5.5,27.7943,37.0573,29.9236,34.7311,33.0808,24.1191,30.9953,20.9449,26.4372,23.2868,23.1485,24.9058,22.2811,19.5777,18.5757,23.2596,22.3257,22.8775,21.1496,26.7569,19.3723,20.0333,16.5729,20.2952,18.3337,24.0965,32.3367,28.2053,8.32732,8.75866,9.40172,9.58905,9.9596,10.8317,6.97945,9.83387,11.5672,10.3075
Cre02.g095109.v5.5,0.0655782,0.92553,1.62928,1.73252,0.544598,0.576005,0.565194,0.912234,0.881916,1.29385,0.651242,0.324024,0.605678,4.75755,1.47601,0.01,0.0996366,2.22469,2.32399,0.786617,0.795307,0.758206,1.58228,1.35552,0.999853,2.42639,3.57456,2.62724,1.01128,2.15523,1.40657,2.22503,3.62155,2.56013,2.26123,3.30805,13.8195,13.2075
Cre02.g095110.v5.5,252.515,232.236,211.582,236.52,211.176,264.317,207.263,192.135,251.834,172.078,221.266,248.075,249.201,250.968,243.078,280.383,267.771,260.422,248.347,240.713,252.713,175.866,194.244,159.759,144.343,138.303,214.945,210.314,226.758,304.832,234.674,293.663,244.374,227.179,139.714,225.792,320.347,319.339
Cre02.g095111.v5.5,18.6231,24.3758,23.3434,26.3379,16.5726,19.8534,25.0359,21.1472,22.6778,29.6316,19.3228,18.1932,17.4925,15.7987,19.0859,17.6435,18.161,17.005,19.9811,20.9404,17.0431,32.4569,29.0018,17.4343,20.0235,15.234,24.8831,20.2961,6.43972,4.94188,3.03572,6.52824,7.14713,6.08936,7.81678,7.76106,15.0964,14.9992
