,AL1,AL2,AL3,AL4,AL5,AL6,AL7,AL8,AL9,AL10,AL11,AL12,AL13,AL14,AL15,AL16,AL17,AL18,AL19,AL20,AL21,AL22,AL23,AD1,AD2,AD3,AD4,AD5,LL1,LL2,LL3,LL4,LL5,LL6,LL7,LL8,LD1,LD2
Cre09.g411350.v5.5,2.463,2.64142,2.41234,4.40978,2.88929,3.20665,2.27512,2.40955,2.90642,2.38091,3.0162,3.34141,3.57434,2.26525,2.8285,3.68711,3.50364,3.58723,2.70138,3.71495,3.25589,3.71049,2.67939,1.57147,2.15259,1.13297,3.76868,3.06899,0.939955,0.461104,0.374783,0.690453,0.775522,0.681495,0.725707,0.5768,1.19258,1.36522
Cre09.g411450.v5.5,3.90268,3.0455,3.6395,5.22351,5.41448,4.88542,7.5189,6.74679,5.45242,4.27486,3.42871,7.32643,7.02441,4.72698,10.1354,8.68574,9.35676,6.78169,5.54423,5.60894,5.54375,7.05703,5.72721,1.40694,1.7547,1.49583,4.46425,3.86051,4.04573,3.17347,3.4697,3.59856,3.8613,3.01157,6.55364,3.13179,2.8987,2.03013
Cre09.g411500.v5.5,4.03044,2.47935,2.32573,3.80711,3.79827,3.97362,3.53505,5.82764,4.25628,14.1864,7.80834,3.48734,5.1885,3.73614,6.54447,12.634,7.70294,6.59935,8.25432,4.93918,6.4672,17.5732,15.2361,1.68925,1.57325,1.59796,1.21472,3.05433,7.81447,6.09143,2.85717,6.34209,4.86618,4.69633,5.74255,3.03926,1.29708,1.18789
Cre09.g411666.v5.5,7.15131,7.63754,6.5069,11.7097,9.27598,9.36899,8.28731,8.89651,7.19584,5.33217,8.80879,10.8502,9.92758,10.5744,8.35108,10.3197,9.43699,9.79539,10.3417,8.21805,10.0652,4.86063,5.55735,3.99363,4.47774,3.1282,1.90121,1.17389,3.52993,1.44014,2.47036,2.07217,2.09707,1.67729,4.94136,3.7988,4.35052,5.24339
Cre09.g411700.v5.5,4.38771,3.69812,4.50344,6.21582,2.51738,3.44908,5.83034,4.04999,3.50451,4.54712,1.78012,3.13943,3.35675,1.47401,0.587096,2.77342,2.31027,4.4812,3.71741,4.7667,2.18974,5.61357,3.53717,18.0371,18.8527,8.21275,8.73632,3.76944,1.66756,0.711205,0.456461,0.485936,0.928735,1.66237,4.12565,1.04623,0.566429,0.545349
Cre09.g411751.v5.5,22.3008,24.3937,19.483,22.8951,20.6909,21.3616,27.7321,24.2888,22.014,18.5275,15.2573,18.682,19.0292,12.6059,17.5548,18.6279,18.8408,22.7385,18.9103,26.3633,16.5489,22.1545,15.5816,40.6986,43.9291,29.3264,44.8922,24.6247,10.9509,6.0093,10.3857,7.06496,5.99987,8.74533,8.06602,7.84688,4.53756,4.48301
Cre09.g411800.v5.5,2.02787,0.982056,1.52415,1.30403,2.17583,0.94083,1.21167,1.34324,0.889181,0.656393,1.37262,1.52962,1.00319,1.01152,0.649059,1.14315,1.372,0.660533,1.10712,1.30611,0.944699,1.36274,1.30201,2.04301,2.54046,3.07885,4.51106,1.77837,1.08661,1.02594,1.0372,1.13905,0.884381,0.799015,0.390278,0.676721,2.45867,2.85191
Cre09.g411900.v5.5,41.568,35.663,40.0552,42.883,27.2583,38.4074,31.952,29.3646,37.4731,60.9626,44.256,29.2925,34.3196,26.4783,25.9252,27.2394,27.8128,28.52,29.8595,33.2135,26.7287,49.0411,44.0152,73.2399,67.5619,62.0378,92.7459,46.9381,19.1461,38.0372,29.5065,43.6987,29.0257,30.7937,12.5641,33.7204,67.5299,69.2211
Cre09.g411950.v5.5,3.11776,2.99776,2.54413,2.97748,4.48124,3.5377,3.36486,3.24994,3.40829,2.81915,2.59707,3.32993,3.29623,3.2554,4.56748,3.46317,3.63473,3.32408,3.39306,3.49804,3.23707,2.67075,3.48092,0.954571,1.20941,1.52106,2.99619,3.64506,2.22452,2.79393,2.9128,2.29362,1.77388,2.06353,2.14812,2.71905,3.99079,4.54101
Cre09.g412000.v5.5,3.0242,2.66092,2.23713,2.61006,1.62868,2.11135,2.92327,1.75725,2.60535,1.47406,2.13265,3.67013,3.46475,3.56167,2.53924,3.29915,3.10891,3.52588,2.48459,2.77328,2.75762,2.08127,1.95679,3.10206,2.88905,3.11054,3.04508,3.28385,2.58212,1.32465,1.62513,1.34774,2.13501,1.3883,1.90455,1.25521,4.30078,3.09909
